67,"FC-03 Whole Wings",Draft,Main,Recipe,1.4402,11.5789859693886,0.0,0.0,14.0,88.4210140306114,1.4402,100.0,"","","","",1,each,1.6210580357144,,,"06/27/2025 05:40:49","2025-07-04 21:29:47","2025-07-06 05:00:58"
68,"Ritz Crumble",Draft,Toppings,PrepRecipe,5.2788,0.0,0.0,0.0,0.0,0.0,5.2788,100.0,3,Days,1,lb,2,oz,4.87299270072993,,,"06/27/2025 04:50:59","2025-07-04 21:29:47","2025-07-06 05:00:58"
69,"FT-02 Loaded Fries",Draft,Main,Recipe,6.519,26.3506281592541,0.0,0.0,14.0,73.6493718407459,6.519,100.0,"","","","",1,ea,3.68908794229557,,,"06/27/2025 04:24:55","2025-07-04 21:29:47","2025-07-06 05:00:58"
70,"French Fries - Portion",Complete,Sides,Recipe,0.4138,10.5395899470899,0.0,0.0,5.0,89.4604100529101,0.4138,100.0,"","","","",1,ea,0.526979497354496,,,"06/27/2025 04:13:24","2025-07-04 21:29:47","2025-07-06 05:00:58"
71,"DP-05 Habanero Ranch",Draft,Sauces,Recipe,0.282,31.0263250000359,0.0,0.0,1.0,68.9736749999641,0.282,100.0,"","","","",2,oz,0.155131625000179,,,"06/27/2025 04:08:09","2025-07-04 21:29:47","2025-07-06 05:00:58"
72,"DP-04 Hot Honey",Draft,Sauces,Recipe,0.0,19.1735095412104,0.0,0.0,1.0,80.8264904587896,0.0,100.0,"","","","",2,oz,0.0958675477060523,,,"06/27/2025 04:06:55","2025-07-04 21:29:47","2025-07-06 05:00:58"
73,"DP-03 Honey Mustard",Draft,Sauces,Recipe,0.4211,44.9325750000535,0.0,0.0,1.0,55.0674249999465,0.4211,100.0,"","","","",2,oz,0.224662875000267,,,"06/27/2025 04:05:30","2025-07-04 21:29:47","2025-07-06 05:00:58"
74,"DP-02 Comeback Sauce",Draft,Sauces,Recipe,0.0,33.710642129668,0.0,0.0,1.0,66.289357870332,0.0,100.0,"","","","",2,oz,0.16855321064834,,,"06/27/2025 04:02:55","2025-07-04 21:29:47","2025-07-06 05:00:58"
75,"DP-01 Charred-Onion Ranch Dip",Draft,Sauces,Recipe,0.0095,83.3271062500522,0.0,0.0,1.0,16.6728937499478,0.0095,100.0,7,Days,"","",2,oz,0.416635531250261,,,"06/27/2025 04:01:29","2025-07-04 21:29:47","2025-07-06 05:00:58"
76,"SD-04 Fried Corn Ribs",Draft,Sides,Recipe,1.738,34.3562053571429,0.0,0.0,5.0,65.6437946428571,1.738,100.0,7,Days,"","",6,oz,0.286301711309524,,,"06/27/2025 03:58:47","2025-07-04 21:29:47","2025-07-06 05:00:58"
77,"Mac Sauce - Modified 2025",Draft,Sauces,PrepRecipe,36.0601,0.0,0.0,0.0,0.0,0.0,36.0601,100.0,7,Days,4,gallon,1,ea,14.6348914774067,,,"06/27/2025 03:55:25","2025-07-04 21:29:47","2025-07-06 05:00:58"
78,"Roux recipe",Complete,Sauces,PrepRecipe,7.167,0.0,0.0,0.0,0.0,0.0,7.167,100.0,1,Weeks,4,lb,1,ea,2.81585,,,"06/27/2025 03:53:11","2025-07-04 21:29:47","2025-07-06 05:00:58"
79,"LJ Mac",Draft,Sides,PrepRecipe,15.9435,0.0,0.0,0.0,0.0,0.0,15.9435,100.0,"","",25,each,1,ea,0.862810179334479,,,"06/27/2025 03:51:29","2025-07-04 21:29:47","2025-07-06 05:00:58"
80,"SD-03 LJ Mac",Draft,Sides,Recipe,0.5536,17.8694803800344,0.0,0.0,5.0,82.1305196199656,0.5536,100.0,"","","","",1,ea,0.893474019001719,,,"06/27/2025 03:40:29","2025-07-04 21:29:47","2025-07-06 05:00:58"
81,"SD-02 Extra-Crispy Fries with Ranch Powder",Draft,Sides,Recipe,5.9995,12.5262763376225,0.0,0.0,5.0,87.4737236623775,5.9995,100.0,"","","","",1,ea,0.626313816881124,,,"06/27/2025 03:36:00","2025-07-04 21:29:47","2025-07-06 05:00:58"
82,"French Fries Recipe",Complete,Sides,PrepRecipe,0.4598,10.5395899470899,0.0,0.0,0.0,0.0,0.4598,100.0,"","",5,oz,1,ea,0.105395899470899,,,"06/27/2025 03:34:09","2025-07-04 21:29:47","2025-07-06 05:00:58"
83,"SD-01 Kale & Cabbage Slaw",Draft,Sides,Recipe,0.4263,7.94002083333669,0.0,0.0,5.0,92.0599791666633,0.4263,100.0,7,"","","",1,ea,0.397001041666835,,,"06/27/2025 03:31:00","2025-07-04 21:29:47","2025-07-06 05:00:58"
84,"Kale Kimchi Recipe",Complete,Sides,PrepRecipe,67.0498,0.0,0.0,0.0,0.0,0.0,67.0498,100.0,7,"",50,lb,1,ea,1.27040333333387,,,"06/27/2025 03:30:13","2025-07-04 21:29:47","2025-07-06 05:00:58"
85,"FT-03 Angry Chicken Mac bowl",Draft,Main,Recipe,1.3432,27.7776498798307,0.0,0.0,15.0,72.2223501201693,1.3432,100.0,"","","","",1,ea,4.1666474819746,,,"06/27/2025 01:49:59","2025-07-04 21:29:47","2025-07-06 05:00:58"
86,"FT-01 Chicken Waffle Cone",Draft,Main,Recipe,0.0098,0.0,0.0,0.0,14.0,100.0,0.0098,100.0,1,Days,"","",1,ea,0.0,,,"06/27/2025 01:26:04","2025-07-04 21:29:47","2025-07-06 05:00:58"
87,"SL-01 Chicken Caesar Salad",Draft,Salads,Recipe,18.3742,32.7857490079369,0.0,0.0,15.0,67.2142509920631,18.3742,100.0,1,Days,"","",1,each,4.91786235119053,,,"06/27/2025 00:14:04","2025-07-04 21:29:47","2025-07-06 05:00:58"
88,"S-04 Fish Sando",Draft,Main,Recipe,3.2479,25.8665975961691,0.0,0.0,14.0,74.1334024038309,3.2479,100.0,1,Days,"","",1,ea,3.62132366346367,,,"06/26/2025 23:50:29","2025-07-04 21:29:47","2025-07-06 05:00:58"
89,"FC-02 Leg Quarter",Draft,Main,Recipe,2.1018,15.1576535836192,0.0,0.0,15.0,84.8423464163808,2.1018,100.0,1,Days,"","",1,ea,2.27364803754288,,,"06/26/2025 23:45:23","2025-07-04 21:29:47","2025-07-06 05:00:58"
90,"FC-01 Thicc'n Tenders",Draft,Main,Recipe,0.4693,28.4805256074299,0.0,0.0,15.0,71.51947439257,0.4693,100.0,1,Days,"","",1,ea,4.27207884111449,,,"06/26/2025 23:35:48","2025-07-04 21:29:47","2025-07-06 05:00:58"
91,"Fried Chicken Tender",Draft,Main,PrepRecipe,0.9507,30.4952566964301,0.0,0.0,0.0,0.0,0.9507,100.0,1,Days,1,ea,1,ea,1.2198102678572,,,"06/26/2025 20:56:56","2025-07-04 21:29:47","2025-07-06 05:00:58"
92,"FC-04 Fried Chicken Tender",Draft,Main,Recipe,1.023,31.7979352678586,0.0,0.0,4.0,68.2020647321414,1.023,100.0,"","","","",1,ea,1.27191741071435,,,"06/26/2025 20:49:51","2025-07-04 21:29:47","2025-07-06 05:00:58"
93,"CHilli Oil - Hot Fat",Draft,Ingredient,PrepRecipe,40.4392,0.0,0.0,0.0,0.0,0.0,40.4392,100.0,1,Months,3,gal,"","",13.09464944,,,"06/26/2025 18:44:02","2025-07-04 21:29:47","2025-07-06 05:00:58"
94,"S-03 Plain Jane Sandwich",Draft,Main,Recipe,2.2967,28.7415622763458,0.0,0.0,12.0,71.2584377236542,2.2967,100.0,"","","","",1,ea,3.44898747316149,,,"06/24/2025 04:52:19","2025-07-04 21:29:47","2025-07-06 05:00:58"
95,"S-01 OG Nashville Chicken",Draft,Main,Recipe,2.5685,26.7024447115432,0.0,0.0,13.0,73.2975552884567,2.5685,100.0,"","","","",1,ea,3.47131781250062,,,"06/24/2025 04:43:53","2025-07-04 21:29:47","2025-07-06 05:00:58"
96,"S-02 J-Blaze Chicken",Draft,Main,Recipe,3.256,25.8585038932807,0.0,0.0,13.0,74.1414961067193,3.256,100.0,"","","","",1,"",3.36160550612649,,,"06/24/2025 04:39:53","2025-07-04 21:29:47","2025-07-06 05:00:58"
97,"24 Hour Chili Brined Chicken Thigh",Draft,Main,PrepRecipe,26.09,0.0,0.0,0.0,12.99,12.99,0.0,100.0,3,days,4,each,1,each,0.0,"","","06/24/2025 04:30:14","2025-07-04 21:29:47",2025-07-06T19:53:31.269243
98,"DP- 05 Habanero Ranch",Draft,Sauces,Recipe,0.282,28.2031250000359,0.0,0.0,1.0,71.7968749999641,0.282,100.0,3,Days,"","",2,oz,0.14101562500018,,,"06/24/2025 04:27:41","2025-07-04 21:29:47","2025-07-06 05:00:58"
99,"Nashville Hot Chicken",Complete,Main,Recipe,3.4465,19.3256599636776,0.0,0.0,15.75,80.6743400363224,3.4465,100.0,2,weeks,"","",1,ea,3.04379144427922,,,"06/22/2025 20:58:17","2025-07-04 21:29:47","2025-07-06 05:00:58"
100,"Comeback Sauce - Updated 2025",Draft,Sauces,PrepRecipe,51.92,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7,Days,7.5,quart,"","",4.94199074074688,,,"06/21/2025 21:30:15","2025-07-04 21:29:47",2025-07-06T19:53:31.269668
