Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:46,
Recipe Name,DP-01 Charred-Onion Ranch Dip,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,16.797893749947836%,$0.8320210625005217,83.20210625005217%,$0.00,0.00%,$0.8320210625005217,$0.41601053125026083/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Charred Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.8037890625005216,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
