Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:48,
Recipe Name,FC-03 Whole Wings,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$14,89.92687340561133%,$1.4102377232144132,10.073126594388667%,$0.00,0.00%,$1.4102377232144132,$1.4102377232144132/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Wing",Product,10 oz,100%,100%,$1.0875,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,1 oz,100%,100%,$0.1185625,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,2 oz,100%,100%,$0.104214285714286,,
"Dairy, Milk, Whole",Product,2 fl oz,100%,100%,$0.0999609375001273,,
