recipe_id,ingredient_id,recipe_name,bad_name,suggestion_1,score_1,id_1,suggestion_2,score_2,id_2,suggestion_3,score_3,id_3,selected_id,action
69,350,FT-02 Loaded Fries,Pickled Shallot,"Produce, Shallots, Peeled, Fresh",63.2,629,"Produce, Shallots, Peeled, Fresh",63.2,670,"Dry Goods, Salt, Kosher",51.9,711,,
71,484,DP-05 Habanero Ranch,"Non Con, Cup, 2oz, Clear Plastic","Dry Goods, Shortening Oil, Clear",50.0,752,"Dry Goods, Shortening Oil, Clear",50.0,759,"Dry Goods, Pickle, DIll, Slices",46.5,652,,
71,485,DP-05 Habanero Ranch,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Dry Goods, Oil, Canola, Clear, Frying",50.9,12,"Dry Goods, Oil, Canola, Clear, Frying",50.9,558,"Dry Goods, Shortening Oil, Clear",48.0,752,,
72,309,DP-04 Hot Honey,Hot Honey - 2025,"Dry Goods, Honey, Natural",50.0,433,"Dry Goods, SO VINEGAR WH 50GR",43.8,868,"Dry Goods, Dressing, Honey Mustard",43.2,291,,
72,310,DP-04 Hot Honey,"Non Con, Cup, 2oz, Clear Plastic","Dry Goods, Shortening Oil, Clear",50.0,752,"Dry Goods, Shortening Oil, Clear",50.0,759,"Dry Goods, Pickle, DIll, Slices",46.5,652,,
72,311,DP-04 Hot Honey,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Dry Goods, Oil, Canola, Clear, Frying",50.9,12,"Dry Goods, Oil, Canola, Clear, Frying",50.9,558,"Dry Goods, Shortening Oil, Clear",48.0,752,,
73,420,DP-03 Honey Mustard,"Non Con, Cup, 2oz, Clear Plastic","Dry Goods, Shortening Oil, Clear",50.0,752,"Dry Goods, Shortening Oil, Clear",50.0,759,"Dry Goods, Pickle, DIll, Slices",46.5,652,,
73,421,DP-03 Honey Mustard,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Dry Goods, Oil, Canola, Clear, Frying",50.9,12,"Dry Goods, Oil, Canola, Clear, Frying",50.9,558,"Dry Goods, Shortening Oil, Clear",48.0,752,,
74,389,DP-02 Comeback Sauce,Comeback Sauce - Updated 2025,"Dry Goods, Chicken Base, Paste",43.5,175,"Dry Goods, Sauce, Chile Sambal",42.3,715,BAC TRAY PACK 3#,41.9,47,,
74,390,DP-02 Comeback Sauce,"Non Con, Cup, 2oz, Clear Plastic","Dry Goods, Shortening Oil, Clear",50.0,752,"Dry Goods, Shortening Oil, Clear",50.0,759,"Dry Goods, Pickle, DIll, Slices",46.5,652,,
74,391,DP-02 Comeback Sauce,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Dry Goods, Oil, Canola, Clear, Frying",50.9,12,"Dry Goods, Oil, Canola, Clear, Frying",50.9,558,"Dry Goods, Shortening Oil, Clear",48.0,752,,
75,383,DP-01 Charred-Onion Ranch Dip,"Non Con, Cup, 2oz, Clear Plastic","Dry Goods, Shortening Oil, Clear",50.0,752,"Dry Goods, Shortening Oil, Clear",50.0,759,"Dry Goods, Pickle, DIll, Slices",46.5,652,,
75,384,DP-01 Charred-Onion Ranch Dip,"Non Con, Lids, 1.5-2oz, Souffle, Clear","Dry Goods, Oil, Canola, Clear, Frying",50.9,12,"Dry Goods, Oil, Canola, Clear, Frying",50.9,558,"Dry Goods, Shortening Oil, Clear",48.0,752,,
79,380,LJ Mac,Mac Sauce - Modified 2025,"Dairy, Cheese Sauce, Loaf, American",47.1,138,"Dairy, Cheese Sauce, Loaf, American",47.1,195,"Dry Goods, Sauce, Chilli & Garlic",44.4,729,,
