Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:39,
Prep Recipe Name,Hot Honey ,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,, , , ,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$22.18179048315084,$0.00,$22.18179048315084,$22.18179048315084,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Honey, Natural",Product,5 lb,100%,100%,$18.77,,
"Dry Goods, Sambal Chill Sauce (wt)",Product,275 gram,100%,100%,$2.53979368715084,,
"Dry Goods, Salt, Kosher",Product,48 gram,100%,100%,$0.2951258,,
"Dry Goods, Garlic Powder",Product,23 gram,100%,100%,$0,,
"Dry Goods, Onion Powder",Product,26 gram,100%,100%,$0.576870996,,
