item,from_unit,to_unit,conversion_type
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Dry Goods, Oil, Canola, Clear, Frying",each,oz,standard
"Produce, Carrots, Jumbo, Fresh",case,lb,standard
"Dry Goods, Flour, All Purpose, White",case,lb,standard
"Frozen, Corn Rib, Hickory Smoked",case,oz,standard
"Frozen, Corn Rib, Hickory Smoked",case,g,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dry Goods, Bread, Texas Toast",loaf,each,standard
"Dairy,  Clarified Butter",case,lb,standard
"Dairy,  Clarified Butter",case,oz,standard
"Dairy,  Clarified Butter",case,oz,standard
"Dairy,  Clarified Butter",case,oz,standard
"Dairy,  Clarified Butter",case,lb,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,fl oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,g,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dairy, Cheese Sauce, Loaf, American",case,oz,standard
"Dry Good,  Cayenne Pepper, Spice",case,ml,standard
"Dry Good,  Cayenne Pepper, Spice",case,g,standard
"Dairy, Cheese, Loaf, Pepper Jack",lb,each,standard
"Dry Goods, Chicken Base, Paste",each,oz,standard
"Dairy, Chesse, Parmesan, Grated",case,oz,standard
"Produce, Coleslaw Mix",case,lb,standard
"Dairy, Cream, Heavy",case,qt,standard
"Dairy, Cream, Heavy",case,qt,standard
"Dairy, Cream, Heavy",case,ml,standard
"Dry Goods, Croutons, Homestyle",case,oz,standard
"Dry Goods, Caesar Dressing",case,oz,standard
"Dry Goods, Ranch Dressing, with Jalapeno",case,fl oz,standard
"Dry Goods, Ranch Dressing, with Jalapeno",case,fl oz,standard
"Dry Goods, Dressing, Honey Mustard",each,fl oz,standard
"Frozen, Potato, French Fries, Frozen",case,oz,standard
"Frozen, Potato, French Fries, Frozen",case,oz,standard
"Seafood, Cod, Battered, Wedges, Frozen",case,oz,standard
"Dry Goods, Spice, Ghost Pepper",each,g,standard
"Produce, Collard Green, Frozen, Chopped",each,lb,standard
"Dry Goods, Honey, Natural",case,oz,standard
"Dry Goods, Honey, Natural",case,oz,standard
"Dry Goods, Honey, Natural",case,oz,standard
"Dry Goods, Honey, Natural",case,oz,standard
"Dry Goods, Honey, Natural",case,oz,standard
"Produce, Onions, Yellow",case,lb,standard
"Produce, Onions, Yellow",case,lb,standard
