recipe_id,ingredient_id,recipe_name,bad_name,suggestion_1,score_1,id_1,suggestion_2,score_2,id_2,suggestion_3,score_3,id_3,selected_id,action
67,388,FC-03 Whole Wings,"Dairy, Milk, Whole",,,,,,,,,,,
67,386,FC-03 Whole Wings,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
67,387,FC-03 Whole Wings,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
67,385,FC-03 Whole Wings,"Protein, Chicken, Wing",,,,,,,,,,,
68,335,Ritz Crumble,"Dry Goods, Crackers, Ritz",,,,,,,,,,,
69,349,FT-02 Loaded Fries,"Dairy, Cheese Sauce, Loaf, American",,,,,,,,,,,
70,406,French Fries - Portion,"Frozen, Potato, French Fries, Frozen",,,,,,,,,,,
71,483,DP-05 Habanero Ranch,"Dry Goods, Ranch Dressing, with Jalapeno",,,,,,,,,,,
71,484,DP-05 Habanero Ranch,"Non Con, Cup, 2oz, Clear Plastic",,,,,,,,,,,
71,485,DP-05 Habanero Ranch,"Non Con, Lids, 1.5-2oz, Souffle, Clear",,,,,,,,,,,
72,309,DP-04 Hot Honey,Hot Honey - 2025,,,,,,,,,,,
72,310,DP-04 Hot Honey,"Non Con, Cup, 2oz, Clear Plastic",,,,,,,,,,,
72,311,DP-04 Hot Honey,"Non Con, Lids, 1.5-2oz, Souffle, Clear",,,,,,,,,,,
73,419,DP-03 Honey Mustard,"Dry Goods, Dressing, Honey Mustard",,,,,,,,,,,
73,420,DP-03 Honey Mustard,"Non Con, Cup, 2oz, Clear Plastic",,,,,,,,,,,
73,421,DP-03 Honey Mustard,"Non Con, Lids, 1.5-2oz, Souffle, Clear",,,,,,,,,,,
74,389,DP-02 Comeback Sauce,Comeback Sauce - Updated 2025,,,,,,,,,,,
74,390,DP-02 Comeback Sauce,"Non Con, Cup, 2oz, Clear Plastic",,,,,,,,,,,
74,391,DP-02 Comeback Sauce,"Non Con, Lids, 1.5-2oz, Souffle, Clear",,,,,,,,,,,
75,383,DP-01 Charred-Onion Ranch Dip,"Non Con, Cup, 2oz, Clear Plastic",,,,,,,,,,,
75,384,DP-01 Charred-Onion Ranch Dip,"Non Con, Lids, 1.5-2oz, Souffle, Clear",,,,,,,,,,,
76,438,SD-04 Fried Corn Ribs,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
76,437,SD-04 Fried Corn Ribs,"Frozen, Corn Rib, Hickory Smoked",,,,,,,,,,,
77,511,Mac Sauce - Modified 2025,"Dairy, Cheese, Loaf, Pepper Jack",,,,,,,,,,,
77,509,Mac Sauce - Modified 2025,"Dairy, Cream, Heavy",,,,,,,,,,,
77,508,Mac Sauce - Modified 2025,"Dairy, Milk, Whole",,,,,,,,,,,
77,510,Mac Sauce - Modified 2025,"Dry Goods, Salt, Kosher",,,,,,,,,,,
78,497,Roux recipe,"Dairy,  Clarified Butter",,,,,,,,,,,
78,498,Roux recipe,"Dry Goods, Flour, All Purpose, White",,,,,,,,,,,
79,381,LJ Mac,"Dry Goods, Pasta, Cavatappi",,,,,,,,,,,
79,380,LJ Mac,Mac Sauce - Modified 2025,,,,,,,,,,,
80,428,SD-03 LJ Mac,"Dry Goods, Pasta, Cavatappi",,,,,,,,,,,
80,427,SD-03 LJ Mac,Mac Sauce - Modified 2025,,,,,,,,,,,
81,489,SD-02 Extra-Crispy Fries with Ranch Powder,"Dry Goods, Ranch Dressing, Mix, Dry",,,,,,,,,,,
82,453,French Fries Recipe,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
82,452,French Fries Recipe,"Dry Goods, Salt, Kosher",,,,,,,,,,,
82,451,French Fries Recipe,"Frozen, Potato, French Fries, Frozen",,,,,,,,,,,
84,506,Kale Kimchi Recipe,"Dry Goods, Sauce, Chile Sambal",,,,,,,,,,,
84,504,Kale Kimchi Recipe,"Dry Goods, Sugar, White",,,,,,,,,,,
84,505,Kale Kimchi Recipe,"Dry Goods, Vinegar, White",,,,,,,,,,,
84,502,Kale Kimchi Recipe,Kale - Chopped,,,,,,,,,,,
84,503,Kale Kimchi Recipe,"Produce, Coleslaw Mix",,,,,,,,,,,
84,507,Kale Kimchi Recipe,Shredded Carrots,,,,,,,,,,,
85,464,FT-03 Angry Chicken Mac bowl,"Dry Goods, Pasta, Cavatappi",,,,,,,,,,,
85,463,FT-03 Angry Chicken Mac bowl,Mac Sauce - Modified 2025,,,,,,,,,,,
86,537,FT-01 Chicken Waffle Cone,"Dairy, Cheese, Loaf, Pepper Jack",,,,,,,,,,,
86,536,FT-01 Chicken Waffle Cone,"Dry Goods, Waffle Cone",,,,,,,,,,,
87,373,SL-01 Chicken Caesar Salad,"Dairy, Chesse, Parmesan, Grated",,,,,,,,,,,
87,374,SL-01 Chicken Caesar Salad,"Dry Goods, Caesar Dressing",,,,,,,,,,,
87,372,SL-01 Chicken Caesar Salad,"Dry Goods, Croutons, Homestyle",,,,,,,,,,,
87,370,SL-01 Chicken Caesar Salad,"Produce, Lettuce, Romaine",,,,,,,,,,,
88,433,S-04 Fish Sando,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
88,434,S-04 Fish Sando,"Dry Goods, Mayonnaise, Heavy",,,,,,,,,,,
88,436,S-04 Fish Sando,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
88,435,S-04 Fish Sando,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
88,432,S-04 Fish Sando,"Seafood, Cod, Battered, Wedges, Frozen",,,,,,,,,,,
89,542,FC-02 Leg Quarter,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
89,543,FC-02 Leg Quarter,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
89,541,FC-02 Leg Quarter,"Protein, Chicken, Thighs",,,,,,,,,,,
90,501,FC-01 Thicc'n Tenders,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
90,500,FC-01 Thicc'n Tenders,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
91,481,Fried Chicken Tender,"Dairy, Milk, Whole",,,,,,,,,,,
91,480,Fried Chicken Tender,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
91,482,Fried Chicken Tender,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
91,479,Fried Chicken Tender,"Protein, Chicken, Tenders",,,,,,,,,,,
92,457,FC-04 Fried Chicken Tender,"Dairy, Milk, Whole",,,,,,,,,,,
92,455,FC-04 Fried Chicken Tender,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
92,456,FC-04 Fried Chicken Tender,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
92,454,FC-04 Fried Chicken Tender,"Protein, Chicken, Tenders",,,,,,,,,,,
93,459,CHilli Oil - Hot Fat,"Dry Goods,  Spice, Paprika, Powder - Spanish",,,,,,,,,,,
93,458,CHilli Oil - Hot Fat,"Dry Goods, Shortening, Pork Lard",,,,,,,,,,,
93,460,CHilli Oil - Hot Fat,"Dry Goods, Spice, Cayenne Pepper, Ground",,,,,,,,,,,
94,399,S-03 Plain Jane Sandwich,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
94,398,S-03 Plain Jane Sandwich,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
94,400,S-03 Plain Jane Sandwich,"Dry Goods, Mayonnaise, Heavy",,,,,,,,,,,
94,401,S-03 Plain Jane Sandwich,"Dry Goods, Pickle, DIll, Slices",,,,,,,,,,,
94,402,S-03 Plain Jane Sandwich,Hot Honey - 2025,,,,,,,,,,,
94,397,S-03 Plain Jane Sandwich,"Protein, Chicken, Tenders",,,,,,,,,,,
95,322,S-01 OG Nashville Chicken,"Dairy,  Clarified Butter",,,,,,,,,,,
95,319,S-01 OG Nashville Chicken,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
95,318,S-01 OG Nashville Chicken,"Protein, Chicken, Thighs",,,,,,,,,,,
96,316,S-02 J-Blaze Chicken,"Dry Goods, Bread,  Burger Bun",,,,,,,,,,,
96,313,S-02 J-Blaze Chicken,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
96,317,S-02 J-Blaze Chicken,"Dry Goods, Oil, Canola, Clear, Frying",,,,,,,,,,,
96,314,S-02 J-Blaze Chicken,Hot Honey - 2025,,,,,,,,,,,
96,312,S-02 J-Blaze Chicken,"Protein, Chicken, Thighs",,,,,,,,,,,
98,439,DP- 05 Habanero Ranch,"Dry Goods, Ranch Dressing, with Jalapeno",,,,,,,,,,,
99,345,Nashville Hot Chicken,"Dairy,  Clarified Butter",,,,,,,,,,,
99,342,Nashville Hot Chicken,"Dry Goods, Bread, Texas Toast",,,,,,,,,,,
99,341,Nashville Hot Chicken,"Protein, Chicken, Thighs",,,,,,,,,,,
101,444,Mac Sauce,"Dairy, Cheese Sauce, Loaf, American",,,,,,,,,,,
101,443,Mac Sauce,"Dairy, Cheese, Cheddar, Yellow Bar",,,,,,,,,,,
101,441,Mac Sauce,"Dairy, Cream, Heavy",,,,,,,,,,,
101,440,Mac Sauce,"Dairy, Milk, Whole",,,,,,,,,,,
101,445,Mac Sauce,"Dry Goods, Olive and Truffle Oil",,,,,,,,,,,
101,442,Mac Sauce,"Dry Goods, Salt, Kosher",,,,,,,,,,,
103,355,Chicken Waffle Cone,"Dairy, Cheese Sauce, Loaf, American",,,,,,,,,,,
103,354,Chicken Waffle Cone,"Dairy, Cream, Heavy",,,,,,,,,,,
103,360,Chicken Waffle Cone,"Dry Goods, Chicken  Breading, Lea Jane Recipe",,,,,,,,,,,
103,353,Chicken Waffle Cone,"Dry Goods, Pasta, Cavatappi",,,,,,,,,,,
103,361,Chicken Waffle Cone,"Dry Goods, Waffle Cone",,,,,,,,,,,
103,359,Chicken Waffle Cone,"Produce, Onions, Green",,,,,,,,,,,
103,356,Chicken Waffle Cone,"Protein, Chicken, Tenders",,,,,,,,,,,
104,408,Charred Onion Ranch,"Dairy, Egg",,,,,,,,,,,
104,410,Charred Onion Ranch,"Dry Goods, Black Pepper, Ground",,,,,,,,,,,
104,409,Charred Onion Ranch,"Dry Goods, Oil, Canola, Salad -v",,,,,,,,,,,
104,411,Charred Onion Ranch,"Dry Goods, Salt, Kosher",,,,,,,,,,,
104,407,Charred Onion Ranch,"Dry Goods, Vinegar, White",,,,,,,,,,,
104,412,Charred Onion Ranch,"Produce, Onions, Yellow",,,,,,,,,,,
