recipe_id,recipe_name,recipe_status,link_id,ingredient_name,ingredient_id,quantity,unit_of_measure,cost,mapped_item,vendor_name,current_price,item_code,mapping_status
97,24 Hour Chili Brined Chicken Thigh,Draft,546.0,"Dairy,  Clarified Butter",105.0,0.5,oz,3.06,"Dairy,  Clarified Butter",RESTAURANT DEPOT,24.51,15700227220,VENDOR_ITEM
97,24 Hour Chili Brined Chicken Thigh,Draft,545.0,"Dry Goods, Salt, Kosher",711.0,0.5,oz,0.47,"Dry Goods, Salt, Kosher","JAKE'S, INC.",8.47,SALT20,VENDOR_ITEM
97,24 Hour Chili Brined Chicken Thigh,Draft,544.0,"Protein, Chicken, Thighs",183.0,6.0,oz,22.56,"Protein, Chicken, Thighs",US Foods,3.76,G20223,VENDOR_ITEM
110,Alabama White BBQ,Draft,378.0,"Dry Good,  Cayenne Pepper, Spice",147.0,2.0,ml,0.0187,"Dry Good,  Cayenne Pepper, Spice",Jorge Garza,4.24,58897_XC6873465,VENDOR_ITEM
110,Alabama White BBQ,Draft,379.0,"Dry Goods, Black Pepper, Ground",890.0,2.0,ml,0.0426,"Dry Goods, Black Pepper, Ground","JAKES, INC.",48.27,BSPI75,VENDOR_ITEM
110,Alabama White BBQ,Draft,375.0,"Dry Goods, Mayonnaise, Heavy",510.0,8.0,cup,6.475,"Dry Goods, Mayonnaise, Heavy",Jorge Garza,12.95,58897_XC11725428,VENDOR_ITEM
110,Alabama White BBQ,Draft,376.0,"Produce, VINEGAR APPLE CIDER SPW LN",862.0,2.0,cup,1.62,"Produce, VINEGAR APPLE CIDER SPW LN","JAKES, INC.",12.96,369874,VENDOR_ITEM
110,Alabama White BBQ,Draft,377.0,Worcestershire Sauce,894.0,2.0,ml,,Worcestershire Sauce,Restaurant Supply,3.5,DG002,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,524.0,"Dry Goods, Bread, Texas Toast",90.0,1.0,each,0.219,"Dry Goods, Bread, Texas Toast",CB Commissary LLC,2.19,936,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,527.0,"Dry Goods, Chicken  Breading, Lea Jane Recipe",475.0,3.0,oz,0.3557,"Dry Goods, Chicken  Breading, Lea Jane Recipe",ALTAMIRA LTD.,94.85,32165,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,525.0,"Dry Goods, Pickle, DIll, Slices",652.0,1.0,oz,0.0014,"Dry Goods, Pickle, DIll, Slices","JAKES, INC.",26.2,PICK41,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,528.0,"Dry Goods, Sauce, BBQ",742.0,4.0,fl oz,0.5344,"Dry Goods, Sauce, BBQ Hickory",US Foods,17.1,BQSA21,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,526.0,"Dry Goods, Shortening, Pork Lard",474.0,1.0,oz,0.0854,"Dry Goods, Shortening, Pork Lard",US Foods,68.29,OILS49,VENDOR_ITEM
118,BBQ Sauce Chicken Wings,Complete,523.0,"Protein, Chicken, Wing",14.0,10.0,oz,1.0875,"Protein, Chicken, Wing",Buckhead Meat & Seafood OF HOUSTON,1.74,1001997,VENDOR_ITEM
119,Buffalo Chicken Wings,Complete,466.0,"Dry Goods, Bread, Texas Toast",90.0,1.0,each,0.219,"Dry Goods, Bread, Texas Toast",CB Commissary LLC,2.19,936,VENDOR_ITEM
119,Buffalo Chicken Wings,Complete,469.0,"Dry Goods, Chicken  Breading, Lea Jane Recipe",475.0,3.0,oz,0.3557,"Dry Goods, Chicken  Breading, Lea Jane Recipe",ALTAMIRA LTD.,94.85,32165,VENDOR_ITEM
119,Buffalo Chicken Wings,Complete,467.0,"Dry Goods, Pickle, DIll, Slices",652.0,1.0,oz,0.0014,"Dry Goods, Pickle, DIll, Slices","JAKES, INC.",26.2,PICK41,VENDOR_ITEM
119,Buffalo Chicken Wings,Complete,470.0,"Dry Goods, Sauce, Buffalo Wing Red Hot",724.0,4.0,fl oz,0.6953,"Dry Goods, Sauce, Buffalo Wing Red Hot","JAKES, INC.",22.25,SAUC06,VENDOR_ITEM
119,Buffalo Chicken Wings,Complete,468.0,"Dry Goods, Shortening, Pork Lard",474.0,1.0,oz,0.0854,"Dry Goods, Shortening, Pork Lard",US Foods,68.29,OILS49,VENDOR_ITEM
