Location Name,Vendor Name,Item Code,Item Description,UOM,Item UOM,Pack,Size,Unit,Contracted Price ($),Last Purchased Date,Last Purchased Price ($),Close Watch,Product(s)
Lea James Hot Chicken,Jorge Garza,58897_XC11484066,10|100ct Nitrile Glove L |XL,cs,,1,1,ea,0,3/18/2025,42.9,FALSE,Non Con. Nitrile Gloves
Lea James Hot Chicken,Jorge Garza,58897_XC11813057,10|1 OOct Nitrile Glove L | XL,cs,ea,10,100,ea,0,3/24/2025,42.9,FALSE,Non Con. Nitrile Gloves
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,87552,1|15 lb caifish fillet fresh 5-7 oz,lb,ea,1,1,lb,0,12/26/2023,6.53,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376516,1|15 lb caifish fillet fresh 5-7 oz.,each,,1,1,lb,0,6/20/2023,6.85,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,237552,1 | 15 LB CATFISH FILLET FRESH 5-7OZ,lb,,1,1,lb,0,3/13/2025,6.43,FALSE,"Protein, Catfish, Fillet, Fresh"
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005412,12 | 3.6#av CHICKEN FRYER WOG 8PC SOL,lb,,1,1,lb,0,8/2/2024,2.49,FALSE,Protein. Chicken Fry Wole 8 pc
Lea James Hot Chicken,Jorge Garza,58897_XC10447735,1|2 Gal Lemon Juice,cs,,1,2,gal,0,11/5/2024,6.99,FALSE,"Produce, Lemon Juice"
Lea James Hot Chicken,Jorge Garza,58897_XC9776450,15Doz XL Eggs,case,,1,180,each,0,3/24/2025,71,FALSE,"Dairy, Egg"
Lea James Hot Chicken,Jorge Garza,58897_XC10484627,24|16oz Fresca |Mex,cs,ea,24,16,oz,0,1/27/2025,41.89,FALSE,"N/A Bev, Soda, Fresca, Mexican"
Lea James Hot Chicken,Jorge Garza,58897_XC11725426,24|16oz Fresco | Mex,cs,ea,24,16,oz,0,3/24/2025,43.5,FALSE,"N/A Bev, Soda, Fresca, Mexican"
Lea James Hot Chicken,Jorge Garza,58897_XC11546426,24ct Green Kale,cs,ea,1,24,ct,0,2/25/2025,26.5,FALSE,"Produce, Kale, Green, Fresh, by Count"
Lea James Hot Chicken,Jorge Garza,58897_XC11546428,35#=====Clear Fry | Canola,ea,,1,35,lb,0,2/25/2025,40.5,FALSE,"Dry Goods, Oil, Canola, Clear, Frying"
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005038,4 / 10#av CHICKEN THIGH BNLS SKON,lb,,1,1,lb,0,9/3/2024,2.24,FALSE,
Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1001997,4 | 10#av CHICKEN WING BUFFALO 1812 JNT,lb,,1,1,lb,0,7/1/2025,1.74,FALSE,"Protein, Chicken, Wing"
