FAM_Product_Name,FAM_Restaurant_Location_Name,Vendor_Name,Vendor_Item_Code,Vendor_Item_Description,Vendor_UOM,Inventory_UOM,Pack_qty,Size_qty,Size_UOM,Last Purchased Date,Last Purchased Price ($)
Non Con. Nitrile Gloves,Lea James Hot Chicken,Jorge Garza,58897_XC11484066,10|100ct Nitrile Glove L |XL,cs,,1,1,ea,3/18/25,42.9
Non Con. Nitrile Gloves,Lea James Hot Chicken,Jorge Garza,58897_XC11813057,10|1 OOct Nitrile Glove L | XL,cs,ea,10,100,ea,3/24/25,42.9
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,87552,1|15 lb caifish fillet fresh 5-7 oz,lb,ea,1,1,lb,12/26/23,6.53
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376516,1|15 lb caifish fillet fresh 5-7 oz.,each,,1,1,lb,6/20/23,6.85
"Protein, Catfish, Fillet, Fresh",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,237552,1 | 15 LB CATFISH FILLET FRESH 5-7OZ,lb,,1,1,lb,3/13/25,6.43
Protein. Chicken Fry Wole 8 pc,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005412,12 | 3.6#av CHICKEN FRYER WOG 8PC SOL,lb,,1,1,lb,8/2/24,2.49
"Produce, Lemon Juice",Lea James Hot Chicken,Jorge Garza,58897_XC10447735,1|2 Gal Lemon Juice,cs,,1,2,gal,11/5/24,6.99
"Dairy, Egg",Lea James Hot Chicken,Jorge Garza,58897_XC9776450,15Doz XL Eggs,case,,1,180,each,3/24/25,71
"N/A Bev, Soda, Fresca, Mexican",Lea James Hot Chicken,Jorge Garza,58897_XC10484627,24|16oz Fresca |Mex,cs,ea,24,16,oz,1/27/25,41.89
"N/A Bev, Soda, Fresca, Mexican",Lea James Hot Chicken,Jorge Garza,58897_XC11725426,24|16oz Fresco | Mex,cs,ea,24,16,oz,3/24/25,43.5
"Produce, Kale, Green, Fresh, by Count",Lea James Hot Chicken,Jorge Garza,58897_XC11546426,24ct Green Kale,cs,ea,1,24,ct,2/25/25,26.5
"Dry Goods, Oil, Canola, Clear, Frying",Lea James Hot Chicken,Jorge Garza,58897_XC11546428,35#=====Clear Fry | Canola,ea,,1,35,lb,2/25/25,40.5
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1005038,4 / 10#av CHICKEN THIGH BNLS SKON,lb,,1,1,lb,9/3/24,2.24
"Protein, Chicken, Wing",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,1001997,4 | 10#av CHICKEN WING BUFFALO 1812 JNT,lb,,1,1,lb,7/1/25,1.74
"Protein, Chicken, Thighs",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5246,4|5 # chicken thigh bnls snon 7.5 oz sol,lb,ea,1,1,lb,6/2/23,2.75
"Protein, Chicken, Thighs",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376518,4|5 # chicken thigh bnls snon 7.5 oz sol.,lb,,1,1,lb,6/20/23,2.75
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5036,4 | 6#av CHICKEN TENDER JUMBO SOL 24.34 24.39 24.39 25.22,lb,,1,1,lb,8/26/24,2.78
"Protein, Chicken, Thighs",Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5246,4 | 6#av CHICKEN THIGH BNLS SKON 7-8oz SOL,lb,,1,1,lb,8/26/24,3.21
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC8146837,4 | 6#av CHICKEN WING 1 &2 JNT SOL.,lb,,1,1,lb,1/13/24,2.59
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5256,4 | 6#av CHICKEN WING 1&2 JNT SOL,lb,,1,1,lb,8/26/24,3.25
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376515,4|6 #chicken tender jumbo sol.,lb,,1,1,lb,6/20/23,2.49
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,120765_XC6376517,4|6 #chicken wing .,lb,,1,1,lb,6/20/23,2.12
,Lea James Hot Chicken,Buckhead Meat & Seafood OF HOUSTON,5256,"4|6 #chicken wing 25,70 76 25.98",lb,ea,1,1,lb,6/2/23,2.12
