FAM_Location_Name,Recipe_Name,Status,Recipe_Group,Recipe_Type,Recipe_Food_Cost,Food_Cost_Percentage,Labor_Cost,Labor_Cost_Percentage,Menu_Price,Prep_Recipe_Yield_Percentage,Gross_Margin,Prime_Cost,Prime_Cost_Percentage,Date_Cost_Modified,Shelf_Life,Shelf_Life_Uom,Prep_Recipe_Yield,Prep_Recipe_Yield_Uom,Serving,Serving_Size,Serving_Size_Uom,Per_Serving
Lea James Hot Chicken,FC-03 Whole Wings,Draft,Main,Recipe,1.62,11.58,0,0,14,100,88.42,1.62,100,6/27/25 5:40,,,,,,1,each,1.62
Lea James Hot Chicken,Ritz Crumble,Draft,Toppings,PrepRecipe,4.87,487.30,0,0,0,100,0.00,4.87,100,6/27/25 4:50,3,Days,1,lb,,2,oz,4.87
Lea James Hot Chicken,FT-02 Loaded Fries,Draft,Main,Recipe,3.69,26.35,0,0,14,100,73.65,3.69,100,6/27/25 4:24,,,,,,1,ea,3.69
Lea James Hot Chicken,French Fries - Portion,Complete,Sides,Recipe,0.53,10.54,0,0,5,100,89.46,0.53,100,6/27/25 4:13,,,,,,1,ea,0.53
Lea James Hot Chicken,DP-05 Habanero Ranch,Draft,Sauces,Recipe,0.31,31.03,0,0,1,100,68.97,0.31,100,6/27/25 4:08,,,,,,2,oz,0.16
Lea James Hot Chicken,DP-04 Hot Honey,Draft,Sauces,Recipe,0.19,19.17,0,0,1,100,80.83,0.19,100,6/27/25 4:06,,,,,,2,oz,0.10
Lea James Hot Chicken,DP-03 Honey Mustard,Draft,Sauces,Recipe,0.45,44.93,0,0,1,100,55.07,0.45,100,6/27/25 4:05,,,,,,2,oz,0.22
Lea James Hot Chicken,DP-02 Comeback Sauce,Draft,Sauces,Recipe,0.34,33.71,0,0,1,100,66.29,0.34,100,6/27/25 4:02,,,,,,2,oz,0.17
Lea James Hot Chicken,DP-01 Charred-Onion Ranch Dip,Draft,Sauces,Recipe,0.83,83.33,0,0,1,100,16.67,0.83,100,6/27/25 4:01,7,Days,,,,2,oz,0.42
Lea James Hot Chicken,SD-04 Fried Corn Ribs,Draft,Sides,Recipe,1.72,34.36,0,0,5,100,65.64,1.72,100,6/27/25 3:58,7,Days,,,,6,oz,0.29
Lea James Hot Chicken,Mac Sauce - Modified 2025,Draft,Sauces,PrepRecipe,58.54,1170.79,0,0,0,100,0.00,58.54,100,6/27/25 3:55,7,Days,4,gallon,1,1,ea,14.63
Lea James Hot Chicken,Roux recipe,Complete,Sauces,PrepRecipe,11.26,225.27,0,0,0,100,0.00,11.26,100,6/27/25 3:53,1,Weeks,4,lb,,1,ea,2.82
Lea James Hot Chicken,LJ Mac,Draft,Sides,PrepRecipe,21.57,431.41,0,0,0,100,0.00,21.57,100,6/27/25 3:51,,,25,each,,1,ea,0.86
Lea James Hot Chicken,SD-03 LJ Mac,Draft,Sides,Recipe,0.89,17.87,0,0,5,100,82.13,0.89,100,6/27/25 3:40,,,,,,1,ea,0.89
Lea James Hot Chicken,SD-02 Extra-Crispy Fries with Ranch Powder,Draft,Sides,Recipe,0.63,12.53,0,0,5,100,87.47,0.63,100,6/27/25 3:36,,,,,,1,ea,0.63
Lea James Hot Chicken,French Fries Recipe,Complete,Sides,PrepRecipe,0.53,10.54,0,0,0,100,0.00,0.53,100,6/27/25 3:34,,,5,oz,,1,ea,0.11
Lea James Hot Chicken,SD-01 Kale & Cabbage Slaw,Draft,Sides,Recipe,0.40,7.94,0,0,5,100,92.06,0.40,100,6/27/25 3:31,7,,,,,1,ea,0.40
