Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:50,
Prep Recipe Name,Alabama White BBQ ,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,, ,3 quart,7 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$10.14581250001197,$0.00,$10.14581250001197,$3.3819375000039904,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Mayonnaise, Heavy",Product,8 cup,100%,100%,$7.78500000000991,,
"Produce, VINEGAR APPLE CIDER SPW LN",Product,2 cup,100%,100%,$1.62000000000206,,
Worcestershire Sauce,Product,2 tablespoon,100%,100%,$0,,
"Dry Good,  Cayenne Pepper, Spice",Product,2 tablespoon,100%,100%,$0.4426875,,
"Dry Goods, Black Pepper, Ground",Product,2 tablespoon,100%,100%,$0.298125,,
