Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:49,
Prep Recipe Name,CHilli Oil - Hot Fat,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, ,3 gal,1 Months,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$38.03524872,$0.00,$38.03524872,$12.678416239999999,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Shortening, Pork Lard",Product,9600 gram,100%,100%,$27.65763792,,
"Dry Goods,  Spice, Paprika, Powder - Spanish",Product,400 gram,100%,100%,$3.068838,,
"Dry Goods, Spice, Cayenne Pepper, Ground",Product,800 gram,100%,100%,$7.3087728,,
