Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:55,
Recipe Name,Collard Greens - Side Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,95.68481989958103%,$0.21575900502094794,4.315180100418959%,$0.00,0.00%,$0.21575900502094794,$0.21575900502094794/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Collard Greens Recipe,PrepRecipe,8 fl oz,100%,100%,$0.21575900502094794,,
