Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:52,
Recipe Name,Comeback Sauce - Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,69.62662037033182%,$0.3037337962966817,30.373379629668168%,$0.00,0.00%,$0.3037337962966817,$0.3037337962966817/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Comeback sauce,PrepRecipe,2 oz,100%,100%,$0.3037337962966817,,
