Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:46,
Recipe Name,DP-02 Comeback Sauce,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,66.27060787033192%,$0.33729392129668084,33.729392129668085%,$0.00,0.00%,$0.33729392129668084,$0.16864696064834042/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Comeback Sauce - Updated 2025,PrepRecipe,2 oz,100%,100%,$0.30906192129668086,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
