Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:46,
Recipe Name,DP-03 Honey Mustard,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,55.0674249999465%,$0.449325750000535,44.9325750000535%,$0.00,0.00%,$0.449325750000535,$0.2246628750002675/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Dressing, Honey Mustard",Product,2 fl oz,100%,100%,$0.421093750000535,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
