Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:45,
Recipe Name,DP-05 Habanero Ranch,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,68.97367499996409%,$0.310263250000359,31.026325000035897%,$0.00,0.00%,$0.310263250000359,$0.1551316250001795/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Ranch Dressing, with Jalapeno",Product,2 fl oz,100%,100%,$0.282031250000359,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
