Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:49,
Recipe Name,FC-01 Thicc'n Tenders,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,71.45267751756997%,$4.282098372364505,28.547322482430033%,$0.00,0.00%,$4.282098372364505,$4.282098372364505/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Fried Chicken Tender,PrepRecipe,3 each,100%,100%,$3.6694503348216196,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
"Dry Goods, Bread, Texas Toast",Product,2 slice,100%,100%,$0.438,,
