Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:49,
Recipe Name,FC-02 Leg Quarter,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,86.67567974971409%,$1.998648037542885,13.3243202502859%,$0.00,0.00%,$1.998648037542885,$1.998648037542885/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,8 oz,100%,100%,$1.605,,
"Dry Goods, Bread, Texas Toast",Product,1 slice,100%,100%,$0.219,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
