Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:48,
Recipe Name,FT-01 Chicken Waffle Cone,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$14,100%,$0.00,0.00%,$0.00,0.00%,$0.00,$0.00/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Waffle Cone",Product,1 ea,100%,100%,$0,,
"Dairy, Cheese, Loaf, Pepper Jack",UOM not available,,,,,,
