Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:48,
Recipe Name,FT-03 Angry Chicken Mac bowl ,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,72.11428759595042%,$4.182856860607438,27.885712404049585%,$0.00,0.00%,$4.182856860607438,$4.182856860607438/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Fried Chicken Tender,PrepRecipe,2 ea,100%,100%,$2.446300223214413,,
Ritz Crumble,PrepRecipe,2 oz,100%,100%,$0.6091240875912413,,
Mac Sauce - Modified 2025,PrepRecipe,4 fl oz,100%,100%,$0.4668700498017838,,
"Dry Goods, Pasta, Cavatappi",Product,6 oz,100%,100%,$0.6605625,,
