Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:45,
Recipe Name,French Fries - Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,89.46041005291008%,$0.5269794973544962,10.539589947089926%,$0.00,0.00%,$0.5269794973544962,$0.5269794973544962/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
French Fries Recipe,PrepRecipe,5 oz,100%,100%,$0.5269794973544962,,
