Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:58,
Prep Recipe Name,French Fries Recipe,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,,1 ea,1 ea, ,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$0.6890165343915333,$0.00,$0.6890165343915333,$0.6890165343915333/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Frozen, Potato, French Fries, Frozen",Product,5 oz,100%,100%,$0.575810185185184,,
"Dry Goods, Salt, Kosher",Product,0.5 oz,100%,100%,$0.0871527777777778,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,0.5 oz,100%,100%,$0.0260535714285714,,
