Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:56,
Prep Recipe Name,Hot Fat,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, ,3 gal,1 Months,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$31.475554584,$0.00,$31.475554584,$10.491851528,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Shortening, Pork Lard",Product,1920 gram,100%,100%,$5.531527584,,
"Dry Goods,  Spice, Paprika, Powder",Product,1000 gram,100%,100%,$7.672095,,
"Dry Goods, Spice, Cayenne Pepper, Ground",Product,2000 gram,100%,100%,$18.271932,,
