Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:37,
Recipe Name,Hot Honey - portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,63.73993551031185%,$0.36260064489688143,36.26006448968814%,$0.00,0.00%,$0.36260064489688143,$0.36260064489688143/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Hot Honey Sauce,PrepRecipe,2 oz,100%,100%,$0.36260064489688143,,
