Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:58,
Recipe Name,Kale Kimchi - Side Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,94.77531385416457%,$0.26123430729177155,5.224686145835431%,$0.00,0.00%,$0.26123430729177155,$0.26123430729177155/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Kale Kimchi Recipe,PrepRecipe,5 oz,100%,100%,$0.26123430729177155,,
