Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:30,
Prep Recipe Name,Kale Kimchi Recipe,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,, ,10 gallon,7 ,100%,20 mins,30 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$63.402566666693524,$0.00,$63.402566666693524,$6.340256666669353,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Kale - Chopped,PrepRecipe,20 lb,100%,100%,$23.784,,
"Produce, Coleslaw Mix",Product,10 lb,100%,100%,$8.645,,
"Dry Goods, Sugar, White",Product,7 lb,100%,100%,$7.9044,,
"Dry Goods, Vinegar, White",Product,2 qt,100%,100%,$1.69166666666882,,
"Dry Goods, Sauce, Chile Sambal",Product,3 qt,100%,100%,$19.4025000000247,,
Shredded Carrots,PrepRecipe,2.5 lb,100%,100%,$1.975,,
