Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:47,
Prep Recipe Name,LJ Mac,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,,1 ea,25 each, ,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$21.6893756225223,$0.00,$21.6893756225223,$0.867575024900892/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce - Modified 2025,PrepRecipe,50 oz,100%,100%,$5.835875622522297,,
"Dry Goods, Pasta, Cavatappi",Product,9 lb,100%,100%,$15.8535,,
