Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:13,
Recipe Name,Lemon Pepper Sauce - Portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,85.3333333333333%,$0.146666666666667,14.6666666666667%,$0.00,0.00%,$0.146666666666667,$0.146666666666667/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Dry Food. Lemon Pepper,Product,2 oz,100%,100%,$0.146666666666667,,
