Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 11:10,
Recipe Name,Loaded Fries,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 , mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$12,80.44177844604263%,$2.3469865864748836,19.558221553957363%,$0.00,0.00%,$2.3469865864748836,$2.3469865864748836
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0075,,
"Dairy, Cheese Sauce, Loaf, American",Product,4 oz,100%,100%,$0.10375,,
Pickled Shallot,PrepRecipe,1 oz,100%,100%,$0.30959505208335014,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
French Fries Recipe,PrepRecipe,1 ea,100%,100%,$0.6890165343915333,,
