Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:55,
Recipe Name,Mac & Cheese,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,81.71493760289216%,$0.9142531198553916,18.285062397107833%,$0.00,0.00%,$0.9142531198553916,$0.9142531198553916/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce,PrepRecipe,2 oz,100%,100%,$0.25369061985539154,,
"Dry Goods, Pasta, Cavatappi",Product,6 oz,100%,100%,$0.6605625,,
