Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:46,
Prep Recipe Name,Mac Sauce - Modified 2025,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,1,1 ea,4 gallon,7 Days,100%,15 mins,5 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$59.75936637462833,$0.00,$59.75936637462833,$14.939841593657082/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dairy, Milk, Whole",Product,3 gallon,100%,100%,$19.1925000000244,,
"Dairy, Cream, Heavy",Product,3 qt,100%,100%,$16.2450000000206,,
"Dry Goods, Salt, Kosher",Product,170 gram,100%,100%,$1.04523720833333,,
"Dairy, Cheese, Loaf, Pepper Jack",Product,1240 gram,100%,100%,$12.16512075,,
Roux recipe,PrepRecipe,1800 gram,100%,100%,$11.11150841625,,
