Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:58,
Prep Recipe Name,Pickled Shallot,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Toppings,, ,4 gallon,2 weeks,100%,1 hrs,15 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$1181.2126666666752,$0.00,$1181.2126666666752,$295.3031666666688,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Vinegar, White",Product,2 gallon,100%,100%,$6.76666666667528,,
"Dry Goods, Sugar, White",Product,5 lb,100%,100%,$5.646,,
"Produce, Shallots, Peeled, Fresh",Product,20 lb,100%,100%,$1168.8,,
