Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:57,
Recipe Name,Plain Jane Sandwich,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,72.7646048795535%,$4.085309268066976,27.23539512044651%,$0.00,0.00%,$4.085309268066976,$4.085309268066976/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,8 oz,100%,100%,$2.015,,
"Dry Goods, Bread,  Burger Bun",Product,1 ea,100%,100%,$0.62,,
"Dry Goods, Mayonnaise, Heavy",UOM not available,,,,,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.524167733675443,,
French Fries Recipe,PrepRecipe,1 each,100%,100%,$0.6890165343915333,,
