Location,Lea James Hot Chicken,,,,Date & Time,06/30/2025 2:51,
Recipe Name, S-01 OG Nashville Chicken,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea,3 mins,9 mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,73.30957451922599%,$3.4697553125006224,26.690425480774017%,$0.00,0.00%,$3.4697553125006224,$3.4697553125006224/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,7 oz,100%,100%,$1.645,,
"Dry Goods, Bread,  Burger Bun",Product,1 each,100%,100%,$0.62,,
Charred Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.8037890625005216,,
Kale Kimchi Recipe,PrepRecipe,3 oz,100%,100%,$0.2382006250001007,,
"Dairy,  Clarified Butter",Product,0.5 oz,100%,100%,$0.162765625,,
