Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:50,
Recipe Name,S-02 J-Blaze Chicken,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 , mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,76.26027302979624%,$3.086164506126491,23.73972697020378%,$0.00,0.00%,$3.086164506126491,$3.086164506126491
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,8 oz,100%,100%,$1.605,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,3 oz,100%,100%,$0.3556875,,
Hot Honey - 2025,PrepRecipe,2 oz,100%,100%,$0.16350309541210453,,
Kale Kimchi Recipe,PrepRecipe,3 oz,100%,100%,$0.23775962500010067,,
"Dry Goods, Bread,  Burger Bun",Product,1 each,100%,100%,$0.62,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,2 oz,100%,100%,$0.104214285714286,,
