Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:47,
Recipe Name,SD-01 Kale & Cabbage Slaw,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,92.07467916666332%,$0.39626604166683455,7.925320833336691%,$0.00,0.00%,$0.39626604166683455,$0.39626604166683455/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Kale Kimchi Recipe,PrepRecipe,5 oz,100%,100%,$0.39626604166683455,,
