Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:47,
Recipe Name,SD-02 Extra-Crispy Fries with Ranch Powder,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,87.47372366237751%,$0.6263138168811238,12.526276337622475%,$0.00,0.00%,$0.6263138168811238,$0.6263138168811238/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
French Fries Recipe,PrepRecipe,5 oz,100%,100%,$0.5269794973544962,,
"Dry Goods, Ranch Dressing, Mix, Dry",Product,1 oz,100%,100%,$0.0993343195266275,,
