Location,Lea James Hot Chicken,,,,Date & Time,06/26/2025 11:47,
Recipe Name,SD-03 LJ Mac,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,81.98757425297325%,$0.9006212873513378,18.012425747026757%,$0.00,0.00%,$0.9006212873513378,$0.9006212873513378/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce - Modified 2025,PrepRecipe,3 oz,100%,100%,$0.3501525373513379,,
"Dry Goods, Pasta, Cavatappi",Product,5 oz,100%,100%,$0.55046875,,
