Location,Lea James Hot Chicken,,,,Date & Time,06/20/2025 10:58,
Recipe Name,Tenders,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$4,68.32453124999999%,$1.26701875,31.67546875%,$0.00,0.00%,$1.26701875,$1.26701875/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0075,,
"Dry Goods, Shortening, Pork Lard",Product,1 oz,100%,100%,$0.081675,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,1.5 oz,100%,100%,$0.17784375,,
