Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:30,
Recipe Name,Buffalo Sauce - portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,65.2343749999558%,$0.347656250000442,34.765625000044196%,$0.00,0.00%,$0.347656250000442,$0.347656250000442/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Sauce, Buffalo Wing Red Hot",Product,2 fl oz,100%,100%,$0.347656250000442,,
