Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:17,
Prep Recipe Name,Coleslaw,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, , , ,100%,10 mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$8.331221343957466,$0.00,$8.331221343957466,$8.331221343957466,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Produce, Coleslaw Mix",Product,2 lb,100%,100%,$1.729,,
"Dry Goods, Mayonnaise, Heavy",Product,1340 gram,100%,100%,$5.87793935567759,,
"Dry Goods, Vinegar, White",Product,60 gram,100%,100%,$0.0531014327243201,,
"Dry Goods, Salt, Kosher",Product,1 oz,100%,100%,$0.174305555555556,,
"Dry Goods, Black Pepper, Ground",Product,1 oz,100%,100%,$0.496875,,
