Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:17,
Prep Recipe Name,Comeback Sauce - Updated 2025,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,2, ,7.5 quart,7 Days,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$37.064930555601606,$0.00,$37.064930555601606,$4.94199074074688,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Mayonnaise, Heavy",Product,3 quart,100%,100%,$11.5800000000147,,
"Dry Goods, Mustard, Creole",Product,3 quart,100%,100%,$14.895000000019,,
"Dry Goods, Sauce, Chile Sambal",Product,1.5 quart,100%,100%,$9.70125000001235,,
"Dry Goods, Salt, Kosher",Product,1 oz,100%,100%,$0.174305555555556,,
"Dry Goods,  Spice, Paprika, Powder - Spanish",Product,1 oz,100%,100%,$0.2175,,
"Dry Goods, Black Pepper, Ground",Product,1 oz,100%,100%,$0.496875,,
