Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:17,
Prep Recipe Name,Comeback sauce,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,2, ,7.5 quart,7 Days,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$36.3505555556016,$0.00,$36.3505555556016,$4.84674074074688,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Mayonnaise, Heavy",Product,3 quart,100%,100%,$11.5800000000147,,
"Dry Goods, Mustard, Creole",Product,3 quart,100%,100%,$14.895000000019,,
"Dry Goods, Sauce, Chile Sambal",Product,1.5 quart,100%,100%,$9.70125000001235,,
"Dry Goods, Salt, Kosher",Product,1 oz,100%,100%,$0.174305555555556,,
