Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:26,
Recipe Name,DP- 05 Habanero Ranch,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,71.7968749999641%,$0.282031250000359,28.2031250000359%,$0.00,0.00%,$0.282031250000359,$0.1410156250001795/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Ranch Dressing, with Jalapeno",Product,2 fl oz,100%,100%,$0.282031250000359,,
