Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:18,
Recipe Name,DP-01 Charred-Onion Ranch Dip,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,16.672893749947836%,$0.8332710625005216,83.32710625005217%,$0.00,0.00%,$0.8332710625005216,$0.4166355312502608/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Charred Onion Ranch,PrepRecipe,2 oz,100%,100%,$0.8050390625005216,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
