Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:18,
Recipe Name,DP-02 Comeback Sauce,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,66.28935787033201%,$0.33710642129667995,33.710642129667995%,$0.00,0.00%,$0.33710642129667995,$0.16855321064833997/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Comeback Sauce - Updated 2025,PrepRecipe,2 oz,100%,100%,$0.30887442129667997,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
