Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 2:18,
Recipe Name,DP-04 Hot Honey,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,2 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,80.82649045878955%,$0.1917350954121045,19.17350954121045%,$0.00,0.00%,$0.1917350954121045,$0.09586754770605226/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Hot Honey - 2025,PrepRecipe,2 oz,100%,100%,$0.1635030954121045,,
"Non Con, Cup, 2oz, Clear Plastic",Product,1 each,100%,100%,$0.014436,,
"Non Con, Lids, 1.5-2oz, Souffle, Clear",Product,1 ea,100%,100%,$0.013796,,
