Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:03,
Recipe Name,FC-01 Thicc'n Tenders,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,71.51947439257005%,$4.272078841114492,28.480525607429946%,$0.00,0.00%,$4.272078841114492,$4.272078841114492/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Fried Chicken Tender,PrepRecipe,3 each,100%,100%,$3.659430803571607,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
"Dry Goods, Bread, Texas Toast",Product,2 slice,100%,100%,$0.438,,
