Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:03,
Recipe Name,FC-02 Leg Quarter,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$15,84.84234641638078%,$2.273648037542885,15.157653583619233%,$0.00,0.00%,$2.273648037542885,$2.273648037542885/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Thighs",Product,8 oz,100%,100%,$1.88,,
"Dry Goods, Bread, Texas Toast",Product,1 slice,100%,100%,$0.219,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
