Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:31,
Prep Recipe Name,Hot Fat,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Ingredient,, ,3 gal,1 Months,100%,10 mins,10 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$34.613353254,$0.00,$34.613353254,$11.537784418000001,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Shortening, Pork Lard",Product,1920 gram,100%,100%,$5.781267504,,
"Dry Goods,  Spice, Paprika, Powder",Product,1000 gram,100%,100%,$10.56015375,,
"Dry Goods, Spice, Cayenne Pepper, Ground",Product,2000 gram,100%,100%,$18.271932,,
