Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:28,
Prep Recipe Name,Hot Honey - 2025,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,,1 each,5 lb,7 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$6.54012381648418,$0.00,$6.54012381648418,$1.308024763296836/each,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Honey, Natural",Product,5 lb,100%,100%,$3.12833333333334,,
"Dry Goods, Sambal Chill Sauce (wt)",Product,275 gram,100%,100%,$2.53979368715084,,
"Dry Goods, Salt, Kosher",Product,48 gram,100%,100%,$0.2951258,,
"Dry Goods, Garlic Powder",Product,23 gram,100%,100%,$0,,
"Dry Goods, Onion Powder",Product,26 gram,100%,100%,$0.576870996,,
