Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:28,
Recipe Name,Hot Honey - portion,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sauces,,1 oz, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$1,78.40399801031185%,$0.2159600198968814,21.59600198968814%,$0.00,0.00%,$0.2159600198968814,$0.2159600198968814/oz
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Hot Honey Sauce,PrepRecipe,2 oz,100%,100%,$0.2159600198968814,,
