Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:29,
Prep Recipe Name,Hot Honey Sauce,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,, ,8 lb,7 Days,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$13.82144127340041,$0.00,$13.82144127340041,$1.7276801591750512,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Sauce, Tomato Ketchup, Jug",Product,32 oz,100%,100%,$1.96210526315789,,
"Dry Goods, Honey, Natural",Product,48 oz,100%,100%,$1.877,,
"Dry Goods, Sambal Chill Sauce (wt)",Product,32 oz,100%,100%,$8.37839851024208,,
Dry Good.SAUCE SOY,Product,12 fl oz,100%,100%,$0.345937500000441,,
Garlic Salt,Product,2 oz,100%,100%,$0,,
"Dry Goods, Onion Powder",Product,2 oz,100%,100%,$1.258,,
