Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:02,
Prep Recipe Name,LJ Mac,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sides,,1 ea,25 each, ,100%, mins, mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$21.570254483361985,$0.00,$21.570254483361985,$0.8628101793344795/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce - Modified 2025,PrepRecipe,50 oz,100%,100%,$5.716754483361985,,
"Dry Goods, Pasta, Cavatappi",Product,9 lb,100%,100%,$15.8535,,
