Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:30,
Recipe Name,Lemon Pepper Chicken Wings,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$13,85.03943062483506%,$1.9448740187714424,14.960569375164942%,$0.00,0.00%,$1.9448740187714424,$1.9448740187714424/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Wing",Product,10 oz,100%,100%,$1.0875,,
"Dry Goods, Bread, Texas Toast",Product,1 slice,100%,100%,$0.219,,
"Dry Goods, Pickle, DIll, Slices",Product,1 oz,100%,100%,$0.0873240187714423,,
"Dry Goods, Shortening, Pork Lard",Product,1 oz,100%,100%,$0.0853625,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,3 oz,100%,100%,$0.3556875,,
Dry Food. Lemon Pepper,Product,1.5 oz,100%,100%,$0.11,,
