Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:31,
Recipe Name,Loaded Fries,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 , mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$12,79.31433321621459%,$2.482280014054249,20.685666783785408%,$0.00,0.00%,$2.482280014054249,$2.482280014054249
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0025,,
"Dairy, Cheese Sauce, Loaf, American",Product,4 oz,100%,100%,$0.8275,,
Pickled Shallot,PrepRecipe,1 oz,100%,100%,$0.30975911458335015,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,2 oz,100%,100%,$0.237125,,
French Fries Recipe,PrepRecipe,1 ea,100%,100%,$0.10539589947089925,,
