Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:31,
Recipe Name,Mac & Cheese,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,81.05028612320461%,$0.9474856938397691,18.949713876795382%,$0.00,0.00%,$0.9474856938397691,$0.9474856938397691/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Mac Sauce,PrepRecipe,2 oz,100%,100%,$0.2869231938397691,,
"Dry Goods, Pasta, Cavatappi",Product,6 oz,100%,100%,$0.6605625,,
