Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:01,
Prep Recipe Name,Mac Sauce - Modified 2025,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Sauces,1,1 ea,4 gallon,7 Days,100%,15 mins,5 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$58.53956590962673,$0.00,$58.53956590962673,$14.634891477406683/ea,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dairy, Milk, Whole",Product,3 gallon,100%,100%,$17.9100000000228,,
"Dairy, Cream, Heavy",Product,3 qt,100%,100%,$16.2450000000206,,
"Dry Goods, Salt, Kosher",Product,170 gram,100%,100%,$1.04523720833333,,
"Dairy, Cheese, Loaf, Pepper Jack",Product,1240 gram,100%,100%,$12.16512075,,
Roux recipe,PrepRecipe,1800 gram,100%,100%,$11.174207951249999,,
