Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:56,
Prep Recipe Name,Pickled Shallot,,,,,,
,,,,,,,
Type,Portion,Portion Size,Batch Size,Shelf Life,PrepRecipe Yield,Prep Time,Cook Time
Toppings,, ,4 gallon,2 weeks,100%,1 hrs,15 mins
,,,,,,,
Food Cost,Labor Cost,Prime Cost,Unit Cost,,,,
$158.59666666667528,$0.00,$158.59666666667528,$39.64916666666882,,,,
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Dry Goods, Vinegar, White",Product,2 gallon,100%,100%,$6.76666666667528,,
"Dry Goods, Sugar, White",Product,5 lb,100%,100%,$5.73,,
"Produce, Shallots, Peeled, Fresh",Product,20 lb,100%,100%,$146.1,,
