Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:03,
Recipe Name,S-04 Fish Sando,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$14,74.1334024038309%,$3.621323663463673,25.866597596169093%,$0.00,0.00%,$3.621323663463673,$3.621323663463673/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Seafood, Cod, Battered, Wedges, Frozen",Product,4 oz,100%,100%,$2.47375,,
"Dry Goods, Bread,  Burger Bun",Product,1 ea,100%,100%,$0.62,,
"Dry Goods, Mayonnaise, Heavy",Product,2 oz,100%,100%,$0.248711340206502,,
"Dry Goods, Pickle, DIll, Slices",Product,2 oz,100%,100%,$0.174648037542885,,
"Dry Goods, Oil, Canola, Clear, Frying",Product,2 oz,100%,100%,$0.104214285714286,,
