Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 3:02,
Recipe Name,SD-01 Kale & Cabbage Slaw,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Sides,,1 ea, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$5,92.05997916666331%,$0.39700104166683453,7.94002083333669%,$0.00,0.00%,$0.39700104166683453,$0.39700104166683453/ea
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
Kale Kimchi Recipe,PrepRecipe,5 oz,100%,100%,$0.39700104166683453,,
