Location,Lea James Hot Chicken,,,,Date & Time,07/08/2025 9:33,
Recipe Name,Tenders,,,,,,
,,,,,,,
Type,Serving,Serving Size,Prep Time,Cook Time,,,
Main,,1 each, mins, mins,,,
,,,,,,,
Menu Price,Gross Margin,Food Cost,Food Cost%,Labor Cost,Labor Cost%,Prime Cost,PerServing
$4,68.35734375%,$1.26570625,31.64265625%,$0.00,0.00%,$1.26570625,$1.26570625/each
,,,,,,,
Ingredient,Type,Measurement,Yield,Usable Yield,Cost,,
"Protein, Chicken, Tenders",Product,4 oz,100%,100%,$1.0025,,
"Dry Goods, Shortening, Pork Lard",Product,1 oz,100%,100%,$0.0853625,,
"Dry Goods, Chicken  Breading, Lea Jane Recipe",Product,1.5 oz,100%,100%,$0.17784375,,
